Actrius;1990s_drama_films;Spanish_films;Catalan-language_films;Films_set_in_Barcelona;Barcelona_in_fiction;Films_directed_by_Ventura_Pons
Altruism;Defence_mechanisms;Evolution_by_phenotype;Morality;Philanthropy;Social_philosophy;Social_psychology;Auguste_Comte;Virtue
Alain_Connes;Living_people;20th-century_mathematicians;Members_of_the_United_States_National_Academy_of_Sciences;21st-century_mathematicians;Collège_de_France_faculty;French_mathematicians;Fields_Medalists;Mathematical_analysts;Differential_geometers;École_Normale_Supérieure_alumni;Vanderbilt_University_faculty;Foreign_Members_of_the_Russian_Academy_of_Sciences;Members_of_the_French_Academy_of_Sciences;Members_of_the_Norwegian_Academy_of_Science_and_Letters;Members_of_the_Royal_Danish_Academy_of_Sciences_and_Letters;Clay_Research_Award_recipients
List_of_Atlas_Shrugged_characters;Fictional_socialites;Lists_of_literary_characters
Allan_Dwan;American_film_producers;American_screenwriters;Western_(genre)_film_directors;Canadian_film_directors;Canadian_emigrants_to_the_United_States;Writers_from_Toronto;1885_births;1981_deaths;Short_film_directors;Burials_at_San_Fernando_Mission_Cemetery
Astronomer;Astronomers;Science_occupations
Academy_Awards;American_film_awards;Awards_established_in_1929
Amoeboid;Cell_biology;Amoeboids;Motile_cells
Ayn_Rand;1905_births;1982_deaths;20th-century_American_novelists;20th-century_philosophers;20th-century_women_writers;American_anti-communists;American_anti-fascists;American_atheists;American_ethicists;American_libertarians;American_people_of_Russian-Jewish_descent;American_philosophers;American_science_fiction_writers;American_screenwriters;American_essayists;American_women_novelists;American_women_philosophers;American_writers_of_Russian_descent;Atheism_activists;Atheist_philosophers;Burials_at_Kensico_Cemetery;Cardiovascular_disease_deaths_in_New_York;Classical_liberals;Critics_of_feminism;Critics_of_religions;Deaths_from_heart_failure;Epistemologists;Imperial_Russian_atheists;Imperial_Russian_Jews;Jewish_American_dramatists_and_playwrights;Jewish_American_novelists;Jewish_atheists;Jewish_philosophers;Jewish_women_writers;Libertarian_theorists;Metaphysicians;Objectivists;Writers_from_Saint_Petersburg;Philosophers_of_mind;Political_philosophers;Political_theorists;Prometheus_Award_winners;Pseudonymous_writers;Russian_anti-communists;Russian_anti-fascists;Russian_dramatists_and_playwrights;Russian_essayists;Russian_libertarians;Russian_novelists;Russian_philosophers;Russian_science_fiction_writers;Russian_screenwriters;Russian_women_writers;Saint_Petersburg_State_University_alumni;Soviet_emigrants_to_the_United_States;Women_essayists;Women_science_fiction_and_fantasy_writers;Women_screenwriters;Writers_from_New_York_City
Anthropology;Social_sciences
Alchemy;Hermeticism;Esotericism
ASCII;ASCII
Academy_Award_for_Best_Production_Design;Best_Art_Direction_Academy_Award_winners;Awards_for_best_art_direction
Algeria;Arabic-speaking_countries_and_territories;Countries_in_Africa;French-speaking_countries_and_territories;G15_nations;Member_states_of_OPEC;Member_states_of_the_African_Union;Member_states_of_the_Arab_League;Member_states_of_the_Organisation_of_Islamic_Cooperation;Member_states_of_the_Union_for_the_Mediterranean;Member_states_of_the_United_Nations;North_African_countries;Republics;Requests_for_audio_pronunciation_(Arabic);Requests_for_audio_pronunciation_(Berber);States_and_territories_established_in_1962;World_Digital_Library_related
Austroasiatic_languages;Agglutinative_languages;Austro-Asiatic_languages
American_Football_Conference;American_Football_League;Organizations_established_in_1970
Afroasiatic_languages;Afro-Asiatic_languages;Language_families
Andre_Agassi;American_male_tennis_players;American_people_of_Armenian_descent;American_people_of_Iranian-Assyrian_descent;American_philanthropists;Australian_Open_champions;Doping_cases_in_tennis;French_Open_champions;Grand_Slam_(tennis)_champions_in_men's_singles;International_Tennis_Hall_of_Fame_inductees;Living_people;Nevada_Democrats;Assyrian_athletes;Olympic_gold_medalists_for_the_United_States;Olympic_medalists_in_tennis;Olympic_tennis_players_of_the_United_States;Armenian_athletes;Sportspeople_from_the_Las_Vegas_Valley;Tennis_people_from_Nevada;Tennis_players_at_the_1996_Summer_Olympics;US_Open_(tennis)_champions;Wimbledon_champions;World_No._1_tennis_players;Iranian_Assyrian_people;American_autobiographers;Writers_from_Nevada;Medalists_at_the_1996_Summer_Olympics
Animal_Farm;Allegory;Animal_Farm;Dystopian_novels;English_novels;Hugo_Award_for_Best_Novella_winning_works;Prometheus_Award_winning_works;Literature_featuring_anthropomorphic_characters;British_novellas;Novels_by_George_Orwell;Political_literature;Roman_à_clef_novels;Satirical_novels;Novels_about_revolutionaries;Novels_about_totalitarianism;Novels_about_propaganda;British_satirical_novels;Animals_in_media;Secker_&_Warburg_books
Amphibian;Classes_(biology)
Analysis_of_variance;Design_of_experiments;Statistical_tests;Parametric_statistics
Andorra;Constitutional_monarchies;Countries_in_Europe;Diarchies;Landlocked_countries;Liberal_democracies;Member_states_of_La_Francophonie;Member_states_of_the_United_Nations;Països_Catalans;Prince-Bishoprics;Principalities;Pyrenees;Romance_countries_and_territories;States_and_territories_established_in_1278
Aldous_Huxley;1963_deaths;19th-century_English_people;Alumni_of_Balliol_College,_Oxford;Burials_in_Surrey;Cancer_deaths_in_California;Consciousness_researchers_and_theorists;Deaths_from_laryngeal_cancer;Duke_University_faculty;English_agnostics;English_essayists;English_expatriates_in_the_United_States;English_humanists;English_novelists;English_pacifists;English_people_of_Cornish_descent;English_poets;English_satirists;English_science_fiction_writers;English_short_story_writers;English_travel_writers;Huxley_family;James_Tait_Black_Memorial_Prize_recipients;Mystics;People_associated_with_the_Human_Potential_Movement;People_from_Godalming;People_from_Taos,_New_Mexico;Psychedelic_drug_advocates;Writers_from_Los_Angeles,_California;20th-century_British_novelists
Apollo;Arts_gods;Deities_in_the_Iliad;Dragonslayers;Health_gods;Knowledge_gods;LGBT_history_in_Greece;LGBT_themes_in_mythology;Muses;Mythological_Greek_archers;Mythological_rapists;Oracular_gods;Roman_gods;Solar_gods
Alkane;Hydrocarbons;Organic_compounds;Functional_groups
Algae;Endosymbiotic_events
Alaska;Alaska;Arctic_Ocean;Exclaves_in_the_United_States;Former_Russian_colonies;States_and_territories_established_in_1959;States_of_the_United_States;West_Coast_of_the_United_States
Aircraft_Carrier;Video_game_theme_songs
Answer;Legal_documents
Appellate_court;Appellate_courts
Arraignment;Prosecution;United_States_criminal_procedure;Criminal_law_of_the_United_Kingdom;Australian_criminal_law
Appellate_procedure_in_the_United_States;United_States_procedural_law;Legal_procedure
Assistive_technology;Disability;Educational_technology;Web_accessibility
America_the_Beautiful;American_patriotic_songs;Barbra_Streisand_songs;Charlie_Rich_songs;Elvis_Presley_songs;Mormon_Tabernacle_Choir_songs;Pikes_Peak;Ray_Charles_songs
Abacus;Chinese_mathematics;Egyptian_mathematics;Greek_mathematics;Indian_mathematics;Japanese_mathematics;Mathematical_tools;Roman_mathematics
Acid;Acid-base_chemistry
Asphalt;Road_construction;Chemical_mixtures;Amorphous_solids;Asphalt;Petroleum;Petroleum_products;IARC_Group_2B_carcinogens;Latin_words_and_phrases
American_National_Standards_Institute;501(c)(3)_nonprofit_organizations;Standards_organizations;ISO_member_bodies;ANSI_standards;1918_establishments_in_the_United_States;Technical_specifications
A_Modest_Proposal;Satirical_works;Pamphlets;1729_essays;Works_published_anonymously;British_satire;1729_in_Great_Britain;Cannibalism_in_fiction
Astronaut;Science_occupations
Atomic_number;Chemical_properties;Nuclear_physics;Atoms
Ambiguity;Critical_thinking;Ambiguity
Apollo_8;1968_in_the_United_States;Apollo_program;Lunar_human_spaceflights;Missions_to_the_Moon;Spacecraft_which_reentered_in_1968
Alphabet;Documents;Orthography
Andrei_Tarkovsky;1932_births;1986_deaths;People_from_Yuryevets_District;Burials_at_Sainte-Geneviève-des-Bois_Russian_Cemetery;Russian_people_of_Polish_descent;Ukrainian_people_of_Polish_descent;Russian_people_of_Ukrainian_descent;Andrei_Tarkovsky;BAFTA_winners_(people);Russian_actors;Russian_Orthodox_Christians;Soviet_film_directors;Russian_film_directors;Russian_opera_directors;Gerasimov_Institute_of_Cinematography_alumni;High_Courses_for_Scriptwriters_and_Film_Directors_faculty;Deaths_from_lung_cancer;Cancer_deaths_in_France;Lenin_Prize_winners
Apollo_11;Manned_missions_to_the_Moon;Missions_to_the_Moon;Sample_return_missions;1969_in_the_United_States;Spacecraft_launched_in_1969;Articles_containing_video_clips;Individual_spacecraft_in_the_collection_of_the_Smithsonian_Institution;Soft_landings_on_the_Moon;Spacecraft_which_reentered_in_1969
Aardvark;Myrmecophagous_mammals;Fauna_of_East_Africa;Living_fossils;Megafauna_of_Africa;Fauna_of_West_Africa;Animals_described_in_1766;Mammals_of_Uganda
Alkali_metal;Groups_in_the_periodic_table;Periodic_table
Adobe;Building_materials;Masonry;Adobe_buildings_and_structures;Appropriate_technology;Vernacular_architecture;Requests_for_audio_pronunciation_(English);Requests_for_audio_pronunciation_(Spanish);Sustainable_building;Buildings_and_structures_by_construction_material
Aardwolf;Carnivorans_of_Africa;Hyenas;Mammals_of_Africa;Mammals_of_Kenya;Myrmecophagous_mammals
Transport_in_Angola;Transport_in_Angola
Articles_of_Confederation;Defunct_constitutions;Documents_of_the_American_Revolution;Ordinances_of_the_Continental_Congress;Federalism_in_the_United_States;History_of_the_United_States_(1776–89);History_of_York_County,_Pennsylvania;Legal_history_of_the_United_States;Pennsylvania_in_the_American_Revolution;Political_charters;United_States_historical_documents;York,_Pennsylvania
Demographics_of_Angola;Demographics_by_country
Angolan_Armed_Forces;Military_of_Angola;Military_history_of_Angola;Conscript_militaries
Atlantic_Ocean;History_of_the_Atlantic_Ocean
Android_(robot);Science_fiction_themes;Android_(robot);Osaka_University_research
Arthur_Schopenhauer;1788_births;1860_deaths;19th-century_German_writers;19th-century_philosophers;Antinatalism;Atheist_philosophers;German_atheists;German_monarchists;German_people_of_Dutch_descent;German_philosophers;Humboldt_University_of_Berlin_faculty;Idealists;Kantian_philosophers;Metaphysicians;Monism;People_from_Gdańsk;University_of_Göttingen_alumni;Philosophers_of_art
List_of_anthropologists;Anthropologists
Asia;Continents
Actinopterygii;Classes_(biology)
Albert_Sidney_Johnston;1862_deaths;Confederate_States_military_personnel_killed_in_the_American_Civil_War;Burials_at_Texas_State_Cemetery;Confederate_States_Army_generals;People_from_Mason_County,_Kentucky;People_from_Texas;People_of_California_in_the_American_Civil_War;People_of_Texas_in_the_American_Civil_War;American_people_of_the_Black_Hawk_War;Transylvania_University_alumni;United_States_Army_generals;United_States_Military_Academy_alumni;People_of_the_Utah_War
Economy_of_Angola;Economy_of_Angola;OPEC;World_Trade_Organization_member_economies;Blood_diamonds
Angola;Countries_in_Africa;Bantu_countries_and_territories;Former_Portuguese_colonies;Least_developed_countries;Member_states_of_OPEC;Member_states_of_the_African_Union;Member_states_of_the_Community_of_Portuguese_Language_Countries;Member_states_of_the_United_Nations;Portuguese-speaking_countries_and_territories;Republics;States_and_territories_established_in_1975;Central_African_countries;World_Digital_Library_related
Alberta;1905_establishments_in_Canada;Provinces_and_territories_of_Canada;States_and_territories_established_in_1905;Canadian_Prairies
Aruba;Countries_in_the_Caribbean;Dependent_territories_in_North_America;Dutch-speaking_countries_and_territories;Former_Dutch_colonies;Island_countries;Islands_of_the_Netherlands_Antilles;Kingdom_of_the_Netherlands;Lesser_Antilles;Netherlands_Antilles_articles_correct_after_Dissolution;Special_territories_of_the_European_Union;States_and_territories_established_in_1986
Albert_Einstein;1955_deaths;Charles_University_in_Prague_faculty;Albert_Einstein;American_agnostics;American_physicists;American_Zionists;Cosmologists;Deaths_from_abdominal_aortic_aneurysm;Einstein_family;ETH_Zurich_alumni;ETH_Zurich_faculty;Foreign_Members_of_the_Royal_Society;German_emigrants_to_Switzerland;German_Jews_who_emigrated_to_the_United_States_to_escape_Nazism;German_Nobel_laureates;German_physicists;German_socialists;American_socialists;Institute_for_Advanced_Study_faculty;Jewish_agnostics;Jewish_American_scientists;Jewish_physicists;Leiden_University_faculty;Members_of_the_American_Philosophical_Society;Nobel_laureates_in_Physics;Pacifists;Pantheists;Patent_examiners;People_from_Berlin;People_from_Bern;People_from_Munich;People_from_Princeton,_New_Jersey;People_from_Ulm;People_from_Zürich;People_with_acquired_Austria-Hungary_citizenship;People_with_acquired_Swiss_citizenship;Philosophers_of_science;Stateless_people;Swiss_agnostics;Swiss_emigrants_to_the_United_States;Swiss_physicists;Theoretical_physicists;Winners_of_the_Max_Planck_Medal;20th-century_German_writers;20th-century_American_writers
Algorithms_(journal);Open_access_journals;Multidisciplinary_Digital_Publishing_Institute_academic_journals;Quarterly_journals;English-language_journals;Publications_established_in_2008;Mathematics_journals
Allah;Islamic_theology;God;Creator_deities
Amateur_astronomy;Romance
Agnostida;Trilobites;Cambrian_trilobites;Ordovician_trilobites
Aikido;Japanese_martial_arts;Aikido;Dō
Art;Arts;Visual_arts
Abortion;Gender_studies;Fertility;Human_reproduction;Ethically_disputed_practices
Albania;Albanian-speaking_countries_and_territories;Balkans;Countries_in_Europe;Member_states_of_La_Francophonie;Member_states_of_NATO;Member_states_of_the_Organisation_of_Islamic_Cooperation;Member_states_of_the_Union_for_the_Mediterranean;Member_states_of_the_United_Nations;Republics;States_and_territories_established_in_1912;World_Digital_Library_related
Afghanistan;Central_Asian_countries;Iranian_Plateau;Islamic_republics;Islamic_states;Landlocked_countries;Least_developed_countries;Member_states_of_the_Organisation_of_Islamic_Cooperation;Member_states_of_the_South_Asian_Association_for_Regional_Cooperation;Member_states_of_the_United_Nations;Pashto-speaking_countries_and_territories;Persian-speaking_countries_and_territories;Republics;South_Asian_countries;States_and_territories_established_in_1709;States_and_territories_established_in_1747;Territories_under_military_occupation;Education_in_Afghanistan
Azerbaijan;Caucasus;Western_Asian_countries;Countries_in_Europe;Near_Eastern_countries;Landlocked_countries;Modern_Turkic_states;Republics;Requests_for_audio_pronunciation_(Azerbaijani);Russian-speaking_countries_and_territories;States_and_territories_established_in_1991;Western_Asia;Member_states_of_the_Organisation_of_Islamic_Cooperation;Member_states_of_the_Commonwealth_of_Independent_States;Member_states_of_the_United_Nations;Azerbaijani-speaking_countries_and_territories;Ethnic_Azerbaijani_people;Eastern_Europe
Annual_plant;Plants;Garden_plants;Horticulture_and_gardening;Annual_plants
Ampere;Units_of_electric_current
Mouthwash;Oral_hygiene;Drug_delivery_devices;Dosage_forms
Alismatales;Angiosperm_orders
Apiales;Angiosperm_orders
Asterales;Angiosperm_orders
Affidavit;Legal_documents;Notary
Algorithm;Articles_with_example_pseudocode;Mathematical_logic;Theoretical_computer_science
Alfred_Korzybski;1950_deaths;General_semantics;Polish_emigrants_to_the_United_States;Polish_engineers;Polish_philosophers;Polish_mathematicians;Linguists_from_Poland;Contemporary_philosophers
Allocution;Evidence_law
Asteroids_(video_game);Ed_Logg_games;Amiga_games;Arcade_games;Atari_2600_games;Cancelled_Atari_5200_games;Atari_7800_games;IOS_games;Atari_8-bit_family_games;Atari_arcade_games;Atari_Lynx_games;Game_Boy_Color_games;Mac_OS_games;Mobile_games;Windows_games;PlayStation_games;Nintendo_64_games;Xbox_360_Live_Arcade_games;Xbox_360_games;Multidirectional_shooters;Vector_arcade_games;Multiplayer_video_games;Android_games;Video_games_of_the_Museum_of_Modern_Art;Asteroids_in_fiction
Anime;Anime;Anime_and_manga_terminology;Articles_including_recorded_pronunciations;Japanese_inventions
Asparagales;Angiosperm_orders
Aquarius_(constellation);Constellations;Western_astrology;Equatorial_constellations;Constellations_listed_by_Ptolemy
Asteroid;Spaceflight
Aries_(constellation);Constellations;Constellations_listed_by_Ptolemy;Northern_constellations;Western_astrology
Alexander_the_Great;356_BC_births;323_BC_deaths;4th-century_BC_Greek_people;4th-century_BC_Macedonians;4th-century_BC_rulers;Ancient_Macedonian_generals;Ancient_Pellaeans;City_founders;Deified_people;Greek_historical_hero_cult;Hellenistic_individuals;Hellenistic_ruler_cult;Macedonian_monarchs;Monarchs_of_Persia;Pharaohs_of_the_Argead_dynasty
American_Revolutionary_War;Global_conflicts;Resistance_to_the_British_Empire;Wars_of_independence
Ankara;Capitals_in_Asia;Capitals_in_Europe;Populated_places_in_Ankara_Province;Ankara_Vilayet
Anaconda;Boinae_by_common_name;Tamil_words_and_phrases
Austrian_German;German_dialects;Languages_of_Austria;National_varieties_of_German;Upper_German_languages
Aegean_Sea;Bodies_of_water_of_Greece;Bodies_of_water_of_Turkey;Seas_of_the_Mediterranean;European_seas
Museum_of_Work;Norrköping;Industry_museums_in_Sweden
A_Clockwork_Orange;1962_novels;Mind_control_in_fiction;Books_written_in_fictional_dialects;British_novellas;British_novels_adapted_into_films;British_philosophical_novels;British_science_fiction_novels;Dystopian_fiction;Dystopian_novels;Fiction_with_unreliable_narrators;Ludwig_van_Beethoven_in_popular_culture;Metafictional_works;Novels_about_music;Novels_by_Anthony_Burgess;Novels_set_in_England;Obscenity_controversies;Prometheus_Award_winning_works;Rape_in_fiction;Heinemann_(publisher)_books;English-language_novels
Attila;453_deaths;5th-century_monarchs_in_Europe;Turkic_rulers;Ancient_Germanic_rulers;Deaths_from_choking;History_of_Hungary;Huns;Year_of_birth_unknown
Alfred_Nobel;1896_deaths;19th-century_Swedish_people;Deaths_from_stroke;Swedish_Christians;Members_of_the_Royal_Swedish_Academy_of_Sciences;Nobel_family;Nobel_Prize;People_from_Stockholm;Swedish_businesspeople;Swedish_chemists;Swedish_engineers;Swedish_inventors;Swedish_Lutherans
Altaic_languages;Agglutinative_languages;Altai_Mountains;Northeast_Asia;Requests_for_audio_pronunciation
Alfred_Hitchcock;1980_deaths;19th-century_English_people;Alfred_Hitchcock;BAFTA_fellows;Deaths_from_renal_failure;English_film_directors;English_film_producers;English_emigrants_to_the_United_States;English-language_film_directors;English_people_of_Irish_descent;English_Roman_Catholics;English_television_directors;American_film_directors;American_film_producers;American_television_directors;German-language_film_directors;Horror_film_directors;Knights_Commander_of_the_Order_of_the_British_Empire;People_educated_at_St_Ignatius'_College,_Enfield;Silent_film_directors;People_from_Leytonstone;Edgar_Award_winners
Anatolia;Ancient_Greek_geography;Geography_of_Turkey;Peninsulas_of_Asia;Physiographic_provinces;Western_Asia;World_Digital_Library_related
Arabic_language;Central_Semitic_languages;Languages_of_Algeria;Languages_of_Bahrain;Languages_of_Chad;Languages_of_Comoros;Languages_of_Djibouti;Languages_of_Eritrea;Languages_of_Gibraltar;Languages_of_Iraq;Languages_of_Israel;Languages_of_Jordan;Languages_of_Kuwait;Languages_of_Lebanon;Languages_of_Libya;Languages_of_Mauritania;Languages_of_Morocco;Languages_of_Oman;Languages_of_Qatar;Languages_of_Saudi_Arabia;Languages_of_Somalia;Languages_of_Somaliland;Languages_of_Sudan;Languages_of_Syria;Languages_of_the_United_Arab_Emirates;Languages_of_Tunisia;Languages_of_Yemen;Languages_of_Trinidad_and_Tobago;Requests_for_audio_pronunciation_(Arabic);Stress-timed_languages;Subject–verb–object_languages;Languages_of_Palestine
Audi;Baden-Württemberg;Companies_based_in_Bavaria;Car_manufacturers_of_Germany;Companies_disestablished_in_1939;Companies_established_in_1909;Companies_established_in_1965;German_brands;Ingolstadt;Luxury_motor_vehicle_manufacturers;Motor_vehicle_manufacturers_of_Germany;Saxony;Sports_car_manufacturers;Volkswagen_Group
Alexander_Graham_Bell;1922_deaths;19th-century_Scottish_people;Alexander_Graham_Bell;Alumni_of_the_University_of_Edinburgh;Alumni_of_University_College_London;American_agnostics;American_businesspeople;American_educationists;American_eugenicists;American_inventors;American_people_of_Scottish_descent;American_physicists;American_Unitarians;Aviation_pioneers;Canadian_agnostics;Canadian_Aviation_Hall_of_Fame_inductees;Canadian_emigrants_to_the_United_States;Canadian_eugenicists;Canadian_inventors;Canadian_people_of_Scottish_descent;Canadian_physicists;Canadian_Unitarians;Elliott_Cresson_Medal_recipients;Fellows_of_the_American_Academy_of_Arts_and_Sciences;History_of_telecommunications;IEEE_Edison_Medal_recipients;Language_teachers;Members_of_the_American_Philosophical_Society;Members_of_the_United_States_National_Academy_of_Sciences;National_Aviation_Hall_of_Fame_inductees;National_Geographic_Society;Officiers_of_the_Légion_d'honneur;People_educated_at_the_Royal_High_School,_Edinburgh;People_from_Baddeck,_Nova_Scotia;People_from_Boston,_Massachusetts;People_from_Brantford;People_from_Edinburgh;People_from_Washington,_D.C.;Scottish_agnostics;Scottish_businesspeople;Scottish_emigrants_to_Canada;Scottish_eugenicists;Scottish_inventors;Scottish_Science_Hall_of_Fame;Scottish_Unitarians;Smithsonian_Institution_people
Amsterdam;Capitals_in_Europe;Cities_in_the_Netherlands;Olympic_cycling_venues;Populated_places_established_in_the_13th_century;Populated_places_in_North_Holland;Port_cities_and_towns_in_the_Netherlands;Port_cities_and_towns_of_the_North_Sea;1928_Summer_Olympic_venues
Aztlan_Underground;American_rappers_of_Mexican_descent;Musical_groups_from_Los_Angeles,_California;Rapcore_groups;West_Coast_hip_hop_musicians
Aberdeenshire;Aberdeenshire
American_Film_Institute;American_Film_Institute;Organizations_established_in_1967
Alp_Arslan;1072_deaths;Seljuk_rulers;Monarchs_of_Persia;Byzantine–Seljuq_Wars;Great_Seljuq_Empire;Murdered_monarchs
Analog_Brothers;Ice-T
Motor_neuron_disease;Systemic_atrophies_primarily_affecting_the_central_nervous_system;Rare_diseases
Abjad;Arabic_orthography
Abugida;Requests_for_audio_pronunciation_(English)
Andy_Warhol;1928_births;1987_deaths;20th-century_American_writers;20th-century_artists;20th-century_painters;American_artists;American_cinematographers;American_Eastern_Catholics;American_experimental_filmmakers;American_film_directors;American_film_directors_of_Hungarian_descent;American_film_producers;American_painters;American_people_of_Hungarian_descent;American_people_of_Lemko_descent;American_people_of_Slovak_descent;American_people_of_Rusyn_descent;American_printmakers;American_screenwriters;American_shooting_survivors;American_socialites;Artists_from_New_York;Artists_from_Pittsburgh,_Pennsylvania;Burials_in_Pennsylvania;Carnegie_Mellon_University_alumni;Censorship_in_the_arts;Contemporary_artists;Counterculture_of_the_1960s;Deaths_from_myocardial_infarction;Deaths_from_surgical_complications;Fashion_illustrators;Film_directors_from_Pennsylvania;Gay_artists;Gay_writers;LGBT_artists_from_the_United_States;LGBT_Christians;LGBT_directors;LGBT_people_from_New_York;LGBT_people_from_Pennsylvania;LGBT_producers;LGBT_writers_from_the_United_States;Photographers_from_New_York;Pop_artists;Postmodern_artists;Ruthenian_Catholics;Schenley_High_School_alumni;The_Velvet_Underground;Warhola_family;Writers_from_New_York;Writers_from_Pittsburgh,_Pennsylvania;American_portrait_painters
Akira_Kurosawa;1998_deaths;People_from_Tokyo;Akira_Kurosawa;Fellows_of_the_American_Academy_of_Arts_and_Sciences;Recipients_of_the_Order_of_Culture;Recipients_of_the_Praemium_Imperiale;Silver_Bear_for_Best_Director_recipients;Academy_Honorary_Award_recipients;Légion_d'honneur_recipients;Fukuoka_Asian_Culture_Prize_winners;Ramon_Magsaysay_Award_winners;David_di_Donatello_winners;Best_Director_BAFTA_Award_winners;César_Award_winners;People's_Honour_Award_winners;Cardiovascular_disease_deaths_in_Japan;Deaths_from_stroke;Japanese_film_producers;Japanese_film_directors;Japanese_screenwriters;Samurai_film_directors;Yakuza_film_directors;Asian_film_producers
Apple_Inc.;Apple_Inc.;Companies_based_in_Cupertino,_California;Companies_established_in_1976;Computer_companies_of_the_United_States;Computer_hardware_companies;Display_technology_companies;Electronics_companies_of_the_United_States;Home_computer_hardware_companies;Mobile_phone_manufacturers;Multinational_companies_headquartered_in_the_United_States;Networking_hardware_companies;Portable_audio_player_manufacturers;Publicly_traded_companies_of_the_United_States;Electronics_companies;Retail_companies_of_the_United_States;Software_companies_based_in_the_San_Francisco_Bay_Area;Steve_Jobs;Warrants_issued_in_Hong_Kong_Stock_Exchange;Technology_companies_of_the_United_States
American_Civil_War;Rebellions_in_the_United_States;Wars_involving_the_United_States;1860s_in_the_United_States;Wars_of_independence
Ancient_Egypt;African_civilizations;Former_empires_of_Africa;States_of_Ancient_Africa
Allegiance;Allegiance;Nationalism;Authoritarianism
MessagePad;Products_introduced_in_1993;Apple_personal_digital_assistants
Alfons_Maria_Jakob;German_neurologists;German_neuroscientists;German_Roman_Catholics;1884_births;1931_deaths
Agnosticism;Criticism_of_religion;Disengagement_from_religion;Epistemological_theories;Secularism;Philosophical_movements;Philosophy_of_religion
Argon;Chemical_elements;Industrial_gases;Noble_gases
Actinium;Actinides;Actinium
A._E._van_Vogt;1912_births;2000_deaths;20th-century_American_novelists;American_male_novelists;American_science_fiction_writers;American_short_story_writers;Canadian_male_novelists;Canadian_science_fiction_writers;Canadian_short_story_writers;Canadian_expatriate_writers_in_the_United_States;Deaths_from_Alzheimer's_disease;Prometheus_Award_winners;SFWA_Grand_Masters;Science_Fiction_Hall_of_Fame_inductees;Worldcon_Guests_of_Honor;Writers_from_Manitoba
Author;Literary_criticism
Arne_Kaijser;Living_people;Swedish_scholars_and_academics;Royal_Institute_of_Technology_academics;Members_of_the_Royal_Swedish_Academy_of_Engineering_Sciences;Historians_of_science;Historians_of_technology;Linköping_University_alumni
Advanced_Chemistry;German_people_of_African_descent
Archipelago;Coastal_and_oceanic_landforms;Islands
Arsenic;Pnictogens;Toxicology;Chemical_elements;Endocrine_disruptors;Arsenic;IARC_Group_1_carcinogens;Biology_and_pharmacology_of_chemical_elements;Trigonal_minerals;Teratogens;Fetotoxicants;Suspected_testicular_toxicants
Angst;Emotions;Existentialist_concepts
Astatine;Chemical_elements;Halogens;Metalloids;Articles_containing_Greek-language_text
